,name,house,species,blood_status,da,oof,de,first_name,last_name
0,Vernon Dursley,,Human,Muggle,,,,Vernon,Dursley
1,Petunia Dursley,,Human,Muggle,,,,Petunia,Dursley
2,Dudley Dursley,,Human,Muggle,,,,Dudley,Dursley
3,Lily Potter,Gryffindor,Human,Muggle-born,,Order of the Phoenix,,Lily,Potter
4,James Potter,Gryffindor,Human,Pure-blood,,Order of the Phoenix,,James,Potter
5,Harry Potter,Gryffindor,Human,Half-blood,Dumbledore's Army,Order of the Phoenix,,Harry,Potter
6,Lord Voldemort,Slytherin,Human,Half-blood,,,Death Eaters,Lord,Voldemort
7,Jim McGuffin,,Human,Muggle,,,,Jim,McGuffin
8,Ted,,Human,Muggle,,,,Ted,
9,Albus Dumbledore,Gryffindor,Human,Half-blood,Dumbledore's Army,Order of the Phoenix,,Albus,Dumbledore
10,Minerva McGonagall,Gryffindor,Human,Half-blood,Dumbledore's Army,Order of the Phoenix,,Minerva,McGonagall
11,Dedalus Diggle,,Human,Pure-blood,,Order of the Phoenix,,Dedalus,Diggle
12,Poppy Pomfrey,,Human,Pure-blood,Dumbledore's Army,Order of the Phoenix,,Poppy,Pomfrey
13,Rubeus Hagrid,Gryffindor,Human,Half-breed,,Order of the Phoenix,,Rubeus,Hagrid
14,Sirius Black,Gryffindor,Human,Pure-blood,,Order of the Phoenix,,Sirius,Black
15,Marge Dursley,,Human,Muggle,,,,Marge,Dursley
16,Arabella Figg,,Human,Squib,,Order of the Phoenix,,Arabella,Figg
17,Tibbles,,Magical creature,,,,,Tibbles,
18,Snowy,,Magical creature,,,,,Snowy,
19,Mr Paws,,Magical creature,,,,,,
20,Tufty,,Magical creature,,,,,Tufty,
21,Yvonne,,Human,Muggle,,,,Yvonne,
22,Piers Polkiss,,Human,Muggle,,,,Piers,Polkiss
23,A boa constrictor,,Animal,,,,,A,boa constrictor
24,A gorilla,,Animal,,,,,A,gorilla
25,Dennis,,Human,Muggle,,,,Dennis,
26,Malcolm,,Human,Muggle,,,,Malcolm,
27,Gordon,,Human,Muggle,,,,Gordon,
28,Dudley's parrot,,Animal,,,,,,
29,Dudley's tortoise,,Animal,,,,,,
30,Merlin,Slytherin,Human,,,,,Merlin,
31,Mr Evans,,Human,Muggle,,,,,
32,Mrs Evans,,Human,Muggle,,,,,
33,Cornelius Fudge,,Human,Pure-blood,,,,Cornelius,Fudge
34,Miranda Goshawk,,Human,,,,,Miranda,Goshawk
35,Bathilda Bagshot,,Human,,,,,Bathilda,Bagshot
36,Adalbert Waffling,,Human,,,,,Adalbert,Waffling
37,Emeric Switch,,Human,,,,,Emeric,Switch
38,Phyllida Spore,,Human,,,,,Phyllida,Spore
39,Arsenus Jigger,,Human,,,,,Arsenus,Jigger
40,Newton Scamander,Hufflepuff,Human,Pure-blood,,,,Newton,Scamander
41,Quentin Trimble,,Human,,,,,Quentin,Trimble
42,Tom,,Human,,,,,Tom,
43,Doris Crockford,,Human,,,,,Doris,Crockford
44,Quirinus Quirrell,Ravenclaw,Human,Half-blood,,,Death Eaters,Quirinus,Quirrell
